"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21","20,125.28","20,714.42","20,834.41","20,065.36","-","-2.95%"
"Oct 21","20,737.77","18,287.77","21,279.16","18,098.51","-","13.45%"
"Sep 21","18,279.15","17,662.82","18,713.94","17,374.62","-","3.54%"
"Aug 21","17,653.54","17,671.77","18,060.21","15,487.81","-","-0.10%"
"Jul 21","17,671.77","18,850.42","18,982.30","17,551.25","-","-6.26%"
"Jun 21","18,850.91","21,051.94","22,266.19","18,557.44","-","-10.41%"
"May 21","21,041.71","19,549.08","22,130.63","19,450.20","-","7.56%"
"Apr 21","19,562.77","21,358.61","21,861.54","18,769.67","-","-8.47%"
"Mar 21","21,372.03","22,514.47","22,915.89","21,186.81","-","-5.14%"
"Feb 21","22,530.42","21,075.40","23,283.51","21,075.40","-","6.73%"
"Jan 21","21,110.22","20,800.29","21,781.97","20,800.29","-","1.38%"
"Dec 20","20,822.15","19,766.60","20,986.96","19,766.60","-","5.18%"
"Nov 20","19,796.51","17,462.53","19,882.40","17,460.05","-","13.30%"
"Oct 20","17,472.20","17,916.66","18,232.54","17,463.57","-","-2.66%"
"Sep 20","17,948.78","18,508.99","18,704.86","16,607.86","-","-3.38%"
"Aug 20","18,576.89","17,512.53","18,609.54","17,421.56","-","6.08%"
"Jul 20","17,512.53","16,870.61","18,288.21","16,365.45","-","3.76%"
"Jun 20","16,878.00","15,591.76","17,552.37","15,549.39","-","8.33%"
"May 20","15,580.85","14,779.28","15,812.52","14,539.77","-","5.42%"
"Apr 20","14,779.28","14,461.65","15,042.52","13,443.02","-","2.18%"
"Mar 20","14,463.96","18,264.30","18,939.32","13,862.62","-","-20.81%"
"Feb 20","18,264.30","19,776.91","20,465.92","18,149.84","-","-7.92%"
"Jan 20","19,834.57","20,579.19","20,756.37","19,833.25","-","-3.37%"
"Dec 19","20,526.13","20,060.90","20,740.09","19,686.32","-","2.23%"
"Nov 19","20,078.00","19,904.87","20,217.11","19,494.95","-","0.87%"
"Oct 19","19,904.87","19,602.71","19,960.77","18,928.02","-","1.54%"
"Sep 19","19,602.71","19,079.48","19,818.40","19,079.48","-","2.60%"
"Aug 19","19,106.75","19,957.26","19,971.08","18,531.29","-","-4.26%"
"Jul 19","19,957.26","20,654.15","21,035.34","19,957.26","-","-3.23%"
"Jun 19","20,622.79","19,921.88","20,864.78","19,891.52","-","3.51%"
"May 19","19,922.77","20,880.70","20,997.44","19,577.76","-","-4.66%"
"Apr 19","20,896.50","21,110.79","21,492.39","20,586.80","-","-0.96%"
"Mar 19","21,098.07","20,608.12","21,266.22","20,428.49","-","2.34%"
