"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21","1,354.23","1,395.62","1,409.86","1,298.64","-","-2.86%"
"Oct 21","1,394.04","1,362.08","1,429.85","1,359.30","-","2.36%"
"Sep 21","1,361.95","1,320.61","1,363.05","1,301.32","-","3.18%"
"Aug 21","1,319.96","1,236.73","1,341.28","1,222.53","-","6.73%"
"Jul 21","1,236.73","1,251.56","1,300.10","1,232.38","-","-0.97%"
"Jun 21","1,248.83","1,204.85","1,286.95","1,204.85","-","3.99%"
"May 21","1,200.90","1,250.65","1,311.73","1,181.53","-","-3.98%"
"Apr 21","1,250.65","1,316.81","1,335.89","1,250.52","-","-5.02%"
"Mar 21","1,316.81","1,359.48","1,360.79","1,309.03","-","-3.14%"
"Feb 21","1,359.48","1,348.12","1,385.57","1,321.73","-","0.84%"
"Jan 21","1,348.12","1,437.89","1,468.16","1,346.54","-","-6.24%"
"Dec 20","1,437.89","1,258.00","1,452.59","1,256.28","-","14.30%"
"Nov 20","1,258.00","1,136.75","1,275.59","1,136.75","-","10.67%"
"Oct 20","1,136.75","1,171.92","1,190.01","1,103.61","-","-3.00%"
"Sep 20","1,171.92","1,216.03","1,270.37","1,162.62","-","-3.63%"
"Aug 20","1,216.03","1,134.34","1,236.10","1,128.03","-","7.20%"
"Jul 20","1,134.34","1,111.80","1,184.34","1,109.70","-","2.03%"
"Jun 20","1,111.80","1,095.84","1,228.73","1,093.17","-","1.46%"
"May 20","1,095.84","1,142.04","1,142.04","1,038.34","-","-4.05%"
"Apr 20","1,142.04","1,123.85","1,221.39","1,056.81","-","1.62%"
"Mar 20","1,123.85","1,549.61","1,573.56","880.72","-","-27.48%"
"Feb 20","1,549.61","1,623.83","1,681.72","1,517.13","-","-4.57%"
"Jan 20","1,623.83","1,662.42","1,677.60","1,618.54","-","-2.32%"
"Dec 19","1,662.42","1,611.92","1,673.36","1,583.11","-","3.13%"
"Nov 19","1,611.92","1,633.15","1,666.80","1,572.86","-","-1.30%"
"Oct 19","1,633.15","1,577.96","1,637.09","1,568.52","-","3.50%"
"Sep 19","1,577.96","1,559.52","1,607.53","1,544.82","-","1.18%"
"Aug 19","1,559.52","1,562.13","1,566.06","1,502.28","-","-0.17%"
"Jul 19","1,562.13","1,548.98","1,622.37","1,538.76","-","0.85%"
"Jun 19","1,548.98","1,487.00","1,567.36","1,482.28","-","4.17%"
"May 19","1,487.00","1,573.64","1,573.64","1,457.26","-","-5.51%"
"Apr 19","1,573.64","1,587.74","1,626.58","1,562.88","-","-0.89%"
"Mar 19","1,587.74","1,508.27","1,634.17","1,499.26","-","5.27%"
"Feb 19","1,508.27","1,447.01","1,527.94","1,446.60","-","4.23%"
"Jan 19","1,447.01","1,325.93","1,456.50","1,318.28","-","9.13%"
"Dec 18","1,325.93","1,379.24","1,410.01","1,290.90","-","-3.87%"
"Nov 18","1,379.24","1,392.18","1,441.73","1,369.15","-","-0.93%"
"Oct 18","1,392.18","1,506.07","1,526.32","1,383.91","-","-7.56%"
"Sep 18","1,506.07","1,542.77","1,542.77","1,467.36","-","-2.38%"
"Aug 18","1,542.77","1,526.60","1,551.09","1,511.41","-","1.06%"
"Jul 18","1,526.60","1,577.01","1,581.73","1,524.61","-","-3.20%"
"Jun 18","1,577.01","1,546.71","1,577.01","1,512.42","-","1.96%"
"May 18","1,546.71","1,565.56","1,572.51","1,515.71","-","-1.20%"
"Apr 18","1,565.56","1,455.52","1,580.29","1,455.52","-","7.56%"
"Mar 18","1,455.52","1,478.33","1,490.70","1,442.71","-","-1.54%"
"Feb 18","1,478.33","1,558.18","1,580.97","1,478.33","-","-5.12%"
"Jan 18","1,558.18","1,513.65","1,598.40","1,504.62","-","2.94%"
"Dec 17","1,513.65","1,445.23","1,514.70","1,439.89","-","4.73%"
"Nov 17","1,445.23","1,424.58","1,454.04","1,414.59","-","1.45%"
"Oct 17","1,424.58","1,487.52","1,491.47","1,423.36","-","-4.23%"
"Sep 17","1,487.52","1,482.27","1,508.94","1,477.03","-","0.35%"
"Aug 17","1,482.27","1,481.37","1,486.12","1,448.95","-","0.06%"
"Jul 17","1,481.37","1,462.90","1,492.21","1,458.61","-","1.26%"
"Jun 17","1,462.90","1,439.48","1,467.90","1,428.66","-","1.63%"
"May 17","1,439.48","1,371.54","1,461.14","1,367.98","-","4.95%"
"Apr 17","1,371.54","1,365.61","1,379.63","1,357.74","-","0.43%"
"Mar 17","1,365.61","1,326.31","1,372.01","1,315.84","-","2.96%"
"Feb 17","1,326.31","1,357.47","1,370.97","1,317.32","-","-2.30%"
"Jan 17","1,357.47","1,351.68","1,378.23","1,341.61","-","0.43%"
"Dec 16","1,351.68","1,286.07","1,354.15","1,286.07","-","5.10%"
"Nov 16","1,286.07","1,365.53","1,375.56","1,270.79","-","-5.82%"
"Oct 16","1,365.53","1,338.83","1,367.73","1,320.90","-","1.99%"
"Sep 16","1,338.83","1,380.18","1,419.33","1,327.09","-","-3.00%"
"Aug 16","1,380.18","1,308.22","1,383.15","1,299.36","-","5.50%"
"Jul 16","1,308.22","1,313.18","1,339.60","1,295.43","-","-0.38%"
"Jun 16","1,313.18","1,292.51","1,338.70","1,284.19","-","1.60%"
"May 16","1,292.51","1,342.42","1,363.50","1,287.57","-","-3.72%"
"Apr 16","1,342.42","1,336.27","1,380.41","1,309.18","-","0.46%"
"Mar 16","1,336.27","1,244.17","1,336.27","1,244.17","-","7.40%"
"Feb 16","1,244.17","1,175.09","1,253.32","1,162.55","-","5.88%"
"Jan 16","1,175.09","1,153.71","1,182.27","1,068.28","-","1.85%"
"Dec 15","1,153.71","1,114.36","1,161.52","1,045.71","-","3.53%"
"Nov 15","1,114.36","1,218.13","1,230.24","1,089.76","-","-8.52%"
"Oct 15","1,218.13","1,218.82","1,282.74","1,201.52","-","-0.06%"
"Sep 15","1,218.82","1,246.59","1,267.25","1,196.93","-","-2.23%"
"Aug 15","1,246.59","1,317.24","1,317.24","1,140.69","-","-5.36%"
"Jul 15","1,317.24","1,331.35","1,337.91","1,288.85","-","-1.06%"
"Jun 15","1,331.35","1,306.62","1,338.48","1,300.33","-","1.89%"
"May 15","1,306.62","1,396.35","1,422.02","1,302.44","-","-6.43%"
"Apr 15","1,396.35","1,304.62","1,419.77","1,304.62","-","7.03%"
"Mar 15","1,304.62","1,367.58","1,368.24","1,249.26","-","-4.60%"
"Feb 15","1,367.58","1,389.00","1,441.59","1,357.70","-","-1.54%"
"Jan 15","1,389.00","1,512.98","1,512.98","1,372.66","-","-8.19%"
"Dec 14","1,512.98","1,525.68","1,566.27","1,341.53","-","-0.83%"
"Nov 14","1,525.68","1,634.88","1,647.83","1,514.53","-","-6.68%"
"Oct 14","1,634.88","1,665.70","1,672.19","1,569.28","-","-1.85%"
"Sep 14","1,665.70","1,771.18","1,787.38","1,665.70","-","-5.96%"
"Aug 14","1,771.18","1,694.59","1,771.54","1,684.66","-","4.52%"
"Jul 14","1,694.59","1,705.99","1,717.81","1,671.99","-","-0.67%"
"Jun 14","1,705.99","1,659.05","1,729.62","1,659.05","-","2.83%"
"May 14","1,659.05","1,672.47","1,692.21","1,641.54","-","-0.80%"
"Apr 14","1,672.47","1,688.30","1,717.92","1,633.46","-","-0.94%"
"Mar 14","1,688.30","1,520.74","1,688.30","1,504.11","-","11.02%"
"Feb 14","1,520.74","1,460.04","1,548.47","1,447.92","-","4.16%"
"Jan 14","1,460.04","1,606.33","1,612.17","1,452.20","-","-9.11%"
"Dec 13","1,606.33","1,630.19","1,652.72","1,587.37","-","-1.46%"
"Nov 13","1,630.19","1,742.94","1,757.20","1,619.42","-","-6.47%"
"Oct 13","1,742.94","1,754.01","1,783.47","1,740.13","-","-0.53%"
"Sep 13","1,752.26","1,728.59","1,777.75","1,722.87","-","1.31%"
"Aug 13","1,729.62","1,677.21","1,747.23","1,670.14","-","2.91%"
"Jul 13","1,680.70","1,617.41","1,707.28","1,550.68","-","4.01%"
"Jun 13","1,615.84","1,669.14","1,685.12","1,552.52","-","-3.03%"
"May 13","1,666.25","1,680.19","1,724.71","1,647.17","-","-1.11%"
"Apr 13","1,684.88","1,775.07","1,777.30","1,682.20","-","-5.07%"
"Mar 13","1,774.86","1,843.83","1,845.54","1,755.12","-","-3.78%"
"Feb 13","1,844.49","1,866.54","1,895.21","1,829.82","-","-1.16%"
"Jan 13","1,866.21","1,833.04","1,873.97","1,819.94","-","1.83%"
"Dec 12","1,832.75","1,759.92","1,838.60","1,756.81","-","4.16%"
"Nov 12","1,759.53","1,808.89","1,810.49","1,688.17","-","-2.78%"
"Oct 12","1,809.93","1,682.43","1,846.34","1,677.72","-","7.66%"
"Sep 12","1,681.08","1,667.95","1,720.09","1,646.34","-","0.75%"
"Aug 12","1,668.50","1,674.04","1,691.13","1,612.62","-","-0.32%"
"Jul 12","1,673.87","1,642.85","1,688.78","1,640.23","-","2.06%"
"Jun 12","1,640.01","1,696.15","1,698.62","1,586.67","-","-5.01%"
"May 12","1,726.55","1,799.44","1,814.12","1,689.12","-","-3.31%"
"Apr 12","1,785.66","1,743.99","1,785.66","1,729.34","-","2.41%"
"Mar 12","1,743.63","1,730.93","1,759.15","1,701.59","-","0.76%"
"Feb 12","1,730.46","1,635.85","1,729.86","1,628.24","-","5.93%"
"Jan 12","1,633.62","1,572.24","1,633.19","1,569.22","-","3.95%"
"Dec 11","1,571.55","1,557.10","1,607.09","1,535.97","-","0.67%"
"Nov 11","1,561.07","1,594.74","1,609.71","1,482.59","-","-3.77%"
"Oct 11","1,622.23","1,589.02","1,644.55","1,528.17","-","2.37%"
"Sep 11","1,584.75","1,644.81","1,687.90","1,569.11","-","-3.52%"
"Aug 11","1,642.53","1,663.02","1,669.86","1,534.72","-","-1.02%"
"Jul 11","1,659.39","1,700.24","1,717.53","1,576.68","-","-2.41%"
"Jun 11","1,700.43","1,762.81","1,763.50","1,692.20","-","-3.41%"
"May 11","1,760.40","1,701.12","1,760.73","1,643.30","-","3.51%"
"Apr 11","1,700.68","1,718.00","1,737.90","1,646.50","-","-1.03%"
"Mar 11","1,718.45","1,754.39","1,797.57","1,623.46","-","-1.86%"
"Feb 11","1,750.97","1,762.80","1,776.66","1,641.05","-","-0.65%"
"Jan 11","1,762.43","1,828.31","1,828.31","1,732.93","-","-3.36%"
"Dec 10","1,823.70","1,789.62","1,870.72","1,789.62","-","2.46%"
"Nov 10","1,779.94","1,907.71","1,956.89","1,696.80","-","-6.41%"
"Oct 10","1,901.83","1,774.14","1,918.19","1,760.44","-","7.48%"
"Sep 10","1,769.50","1,666.57","1,782.65","1,666.57","-","6.33%"
"Aug 10","1,664.18","1,576.87","1,664.18","1,548.36","-","5.89%"
"Jul 10","1,571.62","1,466.78","1,604.21","1,450.00","-","7.15%"
"Jun 10","1,466.78","1,444.54","1,478.42","1,430.24","-","1.54%"
"May 10","1,444.54","1,468.88","1,491.34","1,351.23","-","-1.55%"
"Apr 10","1,467.26","1,440.80","1,488.45","1,440.80","-","1.85%"
"Mar 10","1,440.58","1,391.02","1,440.58","1,388.50","-","3.56%"
"Feb 10","1,391.02","1,363.67","1,398.47","1,320.17","-","2.01%"
"Jan 10","1,363.67","1,376.27","1,392.66","1,333.83","-","-0.23%"
