"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21","4,505.62","4,092.20","4,822.43","4,092.20","-","10.10%"
"Oct 21","4,092.20","4,362.59","4,373.50","3,959.02","-","-6.20%"
"Sep 21","4,362.59","4,491.57","4,491.57","4,290.25","-","-2.87%"
"Aug 21","4,491.57","4,252.04","4,510.77","4,172.52","-","5.63%"
"Jul 21","4,252.04","4,331.33","4,371.54","4,113.60","-","-1.83%"
"Jun 21","4,331.33","4,356.43","4,443.90","4,131.38","-","-0.58%"
"May 21","4,356.43","4,472.84","4,730.68","4,003.99","-","-2.60%"
"Apr 21","4,472.84","4,898.09","5,005.97","4,472.84","-","-8.68%"
"Mar 21","4,898.09","4,573.37","4,958.43","4,573.37","-","7.10%"
"Feb 21","4,573.37","4,288.65","4,679.38","4,288.65","-","6.64%"
"Jan 21","4,288.65","4,177.22","4,697.16","4,177.22","-","2.67%"
"Dec 20","4,177.22","4,032.87","4,251.72","4,032.87","-","3.58%"
"Nov 20","4,032.87","3,539.92","4,208.96","3,489.65","-","13.93%"
"Oct 20","3,539.92","3,637.30","3,831.40","3,530.26","-","-2.68%"
"Sep 20","3,637.30","3,767.15","3,858.64","3,512.53","-","-3.45%"
"Aug 20","3,767.15","4,017.08","4,079.03","3,767.15","-","-6.22%"
"Jul 20","4,017.08","3,959.02","4,310.22","3,865.31","-","1.47%"
"Jun 20","3,959.02","3,647.60","4,149.02","3,616.68","-","8.54%"
"May 20","3,647.60","3,977.56","4,036.99","3,534.32","-","-8.30%"
"Apr 20","3,977.56","3,487.49","4,020.21","3,343.62","-","14.05%"
"Mar 20","3,487.49","4,122.63","4,368.63","2,850.78","-","-15.41%"
"Feb 20","4,122.63","4,572.06","4,710.61","4,122.63","-","-9.83%"
"Jan 20","4,572.06","4,669.85","5,000.59","4,516.97","-","-2.09%"
"Dec 19","4,669.85","4,538.80","4,908.11","4,468.30","-","2.89%"
"Nov 19","4,538.80","4,744.13","4,891.27","4,408.17","-","-4.33%"
"Oct 19","4,744.13","5,059.04","5,194.01","4,699.61","-","-6.22%"
"Sep 19","5,059.04","4,804.37","5,152.30","4,713.35","-","5.30%"
"Aug 19","4,804.37","4,972.36","4,990.99","4,589.45","-","-3.38%"
"Jul 19","4,972.36","5,070.71","5,099.89","4,962.73","-","-1.94%"
"Jun 19","5,070.71","4,977.09","5,098.44","4,920.82","-","1.88%"
"May 19","4,977.09","5,187.10","5,197.07","4,798.35","-","-4.05%"
"Apr 19","5,187.10","5,259.41","5,290.31","5,147.20","-","-1.37%"
"Mar 19","5,259.41","5,287.54","5,345.32","5,154.59","-","-0.53%"
"Feb 19","5,287.54","5,405.61","5,515.95","5,280.68","-","-2.18%"
"Jan 19","5,405.61","5,105.43","5,484.18","5,064.41","-","5.88%"
"Dec 18","5,105.43","5,111.88","5,185.98","5,007.94","-","-0.13%"
"Nov 18","5,111.88","5,104.33","5,272.36","5,095.58","-","0.15%"
"Oct 18","5,104.33","5,283.53","5,366.21","4,998.95","-","-3.39%"
"Sep 18","5,283.53","5,270.43","5,507.58","5,137.49","-","0.25%"
"Aug 18","5,270.43","5,434.44","5,454.35","5,222.43","-","-3.02%"
"Jul 18","5,434.44","5,301.25","5,483.04","5,240.34","-","2.51%"
"Jun 18","5,301.25","5,455.09","5,566.77","5,245.94","-","-2.82%"
"May 18","5,455.09","5,711.96","5,730.72","5,433.61","-","-4.48%"
"Apr 18","5,710.90","5,542.22","5,730.72","5,496.40","-","3.04%"
"Mar 18","5,542.22","5,602.83","5,663.14","5,441.34","-","-1.08%"
"Feb 18","5,602.83","5,855.38","5,894.93","5,494.57","-","-4.31%"
"Jan 18","5,855.38","5,565.63","5,890.12","5,558.54","-","5.23%"
"Dec 17","5,564.60","5,003.40","5,646.00","4,846.84","-","11.22%"
"Nov 17","5,003.40","5,588.08","5,591.04","4,968.16","-","-10.46%"
"Oct 17","5,588.08","5,346.74","5,613.70","5,341.95","-","4.61%"
"Sep 17","5,341.93","5,152.67","5,351.46","5,076.85","-","3.66%"
"Aug 17","5,153.15","5,062.50","5,194.08","5,020.26","-","1.75%"
"Jul 17","5,064.62","4,749.57","5,082.46","4,740.88","-","6.69%"
"Jun 17","4,747.24","4,855.88","4,920.01","4,717.80","-","-2.23%"
"May 17","4,855.75","4,796.69","4,911.46","4,769.71","-","1.26%"
"Apr 17","4,795.13","4,786.14","4,904.81","4,772.53","-","0.24%"
"Mar 17","4,783.42","4,364.50","4,877.00","4,359.77","-","9.71%"
"Feb 17","4,359.88","4,202.50","4,384.75","4,202.11","-","3.82%"
"Jan 17","4,199.50","4,150.52","4,315.11","4,141.54","-","1.16%"
"Dec 16","4,151.39","4,210.47","4,276.45","4,028.61","-","-1.33%"
"Nov 16","4,207.24","4,290.43","4,326.08","4,101.19","-","-1.92%"
"Oct 16","4,289.78","4,015.26","4,321.02","4,014.05","-","6.84%"
"Sep 16","4,015.25","4,123.26","4,150.33","4,006.69","-","-2.53%"
"Aug 16","4,119.28","4,117.47","4,183.35","4,081.01","-","0.04%"
"Jul 16","4,117.47","3,995.65","4,161.42","3,992.02","-","3.04%"
"Jun 16","3,995.91","3,938.93","4,036.96","3,847.19","-","1.56%"
"May 16","3,934.71","4,008.84","4,027.32","3,926.94","-","-1.68%"
"Apr 16","4,002.07","3,937.20","4,084.61","3,866.42","-","1.64%"
"Mar 16","3,937.49","3,717.68","3,978.96","3,713.48","-","5.97%"
"Feb 16","3,715.84","3,702.71","3,774.02","3,573.13","-","0.27%"
"Jan 16","3,705.92","3,678.32","3,713.75","3,418.77","-","0.70%"
"Dec 15","3,680.21","3,657.90","3,697.83","3,490.34","-","0.68%"
"Nov 15","3,655.30","3,827.99","3,902.74","3,643.99","-","-4.51%"
"Oct 15","3,827.99","3,685.18","3,943.60","3,662.27","-","3.88%"
"Sep 15","3,685.18","3,838.84","3,845.60","3,647.96","-","-4.04%"
"Aug 15","3,840.21","3,867.44","3,893.61","3,541.79","-","-0.78%"
"Jul 15","3,870.35","3,898.23","3,926.97","3,752.00","-","-0.69%"
"Jun 15","3,897.10","4,038.52","4,042.93","3,847.94","-","-3.67%"
"May 15","4,045.62","4,044.97","4,148.23","4,012.05","-","0.05%"
"Apr 15","4,043.45","3,916.92","4,133.67","3,908.41","-","3.23%"
"Mar 15","3,916.92","3,983.72","3,991.51","3,824.99","-","-1.68%"
